	name	price_high	price_low	price_open	time_period_start	time_period_end	volume_traded	trades_count
0	BCH	2500.0	2432.0	2436.01	2017-12-28T00:00:00.0000000Z	2017-12-29T00:00:00.0000000Z	413.643122369	689
1	BCH	2895.0	2298.57	2490.63	2017-12-29T00:00:00.0000000Z	2017-12-30T00:00:00.0000000Z	11900.499230763	15691
2	BCH	2628.91	2120.0	2600.0	2017-12-30T00:00:00.0000000Z	2017-12-31T00:00:00.0000000Z	9515.133242034	11876
3	BCH	2504.0	2189.0	2232.58	2017-12-31T00:00:00.0000000Z	2018-01-01T00:00:00.0000000Z	3199.328528593	5188
4	BCH	2410.0	2250.0	2377.0	2018-01-01T00:00:00.0000000Z	2018-01-02T00:00:00.0000000Z	2772.40178606	2629
5	BCH	2699.0	2300.14	2321.68	2018-01-02T00:00:00.0000000Z	2018-01-03T00:00:00.0000000Z	7043.441371935	9464
6	BCH	2758.98	2490.01	2550.0	2018-01-03T00:00:00.0000000Z	2018-01-04T00:00:00.0000000Z	6521.06629892	8079
7	BCH	2555.01	2310.0	2550.0	2018-01-04T00:00:00.0000000Z	2018-01-05T00:00:00.0000000Z	11483.726514184	11564
8	BCH	2513.97	2295.04	2352.16	2018-01-05T00:00:00.0000000Z	2018-01-06T00:00:00.0000000Z	6036.736152478	7616
9	BCH	2630.0	2320.0	2385.0	2018-01-06T00:00:00.0000000Z	2018-01-07T00:00:00.0000000Z	5686.959397871	7558
10	BCH	2775.0	2495.0	2519.09	2018-01-07T00:00:00.0000000Z	2018-01-08T00:00:00.0000000Z	7429.084655338	8784
11	BCH	2569.0	2200.0	2516.03	2018-01-08T00:00:00.0000000Z	2018-01-09T00:00:00.0000000Z	5099.101138036	7983
12	BCH	2498.0	2310.0	2403.01	2018-01-09T00:00:00.0000000Z	2018-01-10T00:00:00.0000000Z	3187.850923337	5648
13	BCH	2988.0	2280.0	2374.94	2018-01-10T00:00:00.0000000Z	2018-01-11T00:00:00.0000000Z	12549.538832242	18491
14	BCH	2955.0	2330.0	2867.42	2018-01-11T00:00:00.0000000Z	2018-01-12T00:00:00.0000000Z	12534.855983355	15761
15	BCH	2649.99	2336.84	2432.0	2018-01-12T00:00:00.0000000Z	2018-01-13T00:00:00.0000000Z	4474.179851979	7025
16	BCH	2849.0	2555.93	2597.62	2018-01-13T00:00:00.0000000Z	2018-01-14T00:00:00.0000000Z	4829.126702204	6507
17	BCH	2721.0	2450.0	2659.25	2018-01-14T00:00:00.0000000Z	2018-01-15T00:00:00.0000000Z	2828.085725888	5364
18	BCH	2554.27	2342.12	2531.91	2018-01-15T00:00:00.0000000Z	2018-01-16T00:00:00.0000000Z	2946.212640795	5727
19	BCH	2405.67	1528.03	2391.77	2018-01-16T00:00:00.0000000Z	2018-01-17T00:00:00.0000000Z	15224.649948341	22993
20	BCH	1925.47	1339.1	1779.78	2018-01-17T00:00:00.0000000Z	2018-01-18T00:00:00.0000000Z	13550.21210557	20107
21	BCH	1910.94	1672.8	1765.31	2018-01-18T00:00:00.0000000Z	2018-01-19T00:00:00.0000000Z	7767.299453153	12736
22	BCH	1879.96	1700.0	1725.0	2018-01-19T00:00:00.0000000Z	2018-01-20T00:00:00.0000000Z	3542.579073605	6175
23	BCH	2111.32	1756.07	1760.85	2018-01-20T00:00:00.0000000Z	2018-01-21T00:00:00.0000000Z	3506.318397016	5680
24	BCH	2024.93	1700.0	2024.88	2018-01-21T00:00:00.0000000Z	2018-01-22T00:00:00.0000000Z	4324.202873742	7093
25	BCH	1821.31	1505.9	1774.92	2018-01-22T00:00:00.0000000Z	2018-01-23T00:00:00.0000000Z	5583.915866732	8583
26	BCH	1698.15	1481.67	1605.58	2018-01-23T00:00:00.0000000Z	2018-01-24T00:00:00.0000000Z	3411.712244949	5637
27	BCH	1680.0	1559.05	1618.86	2018-01-24T00:00:00.0000000Z	2018-01-25T00:00:00.0000000Z	2188.123878147	4042
28	BCH	1707.98	1597.2	1652.09	2018-01-25T00:00:00.0000000Z	2018-01-26T00:00:00.0000000Z	2224.474449896	4864
29	BCH	1671.58	1475.36	1630.82	2018-01-26T00:00:00.0000000Z	2018-01-27T00:00:00.0000000Z	5624.520229879	6887
30	BCH	1698.26	1557.66	1593.06	2018-01-27T00:00:00.0000000Z	2018-01-28T00:00:00.0000000Z	2089.485335118	3554
31	BCH	1760.0	1630.14	1630.23	2018-01-28T00:00:00.0000000Z	2018-01-29T00:00:00.0000000Z	2654.41964271	4133
32	BCH	1765.89	1616.46	1748.5	2018-01-29T00:00:00.0000000Z	2018-01-30T00:00:00.0000000Z	2007.820742817	3290
33	BCH	1648.61	1435.71	1648.15	2018-01-30T00:00:00.0000000Z	2018-01-31T00:00:00.0000000Z	5660.836058035	7897
34	BCH	1524.2	1370.0	1442.09	2018-01-31T00:00:00.0000000Z	2018-02-01T00:00:00.0000000Z	3177.179483796	5121
35	BCH	1489.98	1172.0	1479.1	2018-02-01T00:00:00.0000000Z	2018-02-02T00:00:00.0000000Z	7816.368565434	10742
36	BCH	1255.7	950.0	1255.68	2018-02-02T00:00:00.0000000Z	2018-02-03T00:00:00.0000000Z	12100.341832128	13381
37	BCH	1320.0	1060.47	1186.06	2018-02-03T00:00:00.0000000Z	2018-02-04T00:00:00.0000000Z	2807.471949857	4613
38	BCH	1287.19	1088.67	1267.19	2018-02-04T00:00:00.0000000Z	2018-02-05T00:00:00.0000000Z	3646.500363822	5493
39	BCH	1174.8	822.87	1151.84	2018-02-05T00:00:00.0000000Z	2018-02-06T00:00:00.0000000Z	11844.269989082	10989
40	BCH	1000.0	760.0	879.81	2018-02-06T00:00:00.0000000Z	2018-02-07T00:00:00.0000000Z	16031.577292064	13382
41	BCH	1048.0	898.08	973.87	2018-02-07T00:00:00.0000000Z	2018-02-08T00:00:00.0000000Z	8887.715686639	8037
42	BCH	1352.0	942.68	948.5	2018-02-08T00:00:00.0000000Z	2018-02-09T00:00:00.0000000Z	17957.241862322	15388
43	BCH	1336.45	1187.47	1277.99	2018-02-09T00:00:00.0000000Z	2018-02-10T00:00:00.0000000Z	8256.735325904	8273
44	BCH	1387.51	1200.0	1302.54	2018-02-10T00:00:00.0000000Z	2018-02-11T00:00:00.0000000Z	5934.319677827	6798
45	BCH	1302.55	1182.3	1237.01	2018-02-11T00:00:00.0000000Z	2018-02-12T00:00:00.0000000Z	5196.530832047	5147
46	BCH	1292.0	1204.36	1204.36	2018-02-12T00:00:00.0000000Z	2018-02-13T00:00:00.0000000Z	2780.292056387	3072
47	BCH	1285.89	1195.0	1283.0	2018-02-13T00:00:00.0000000Z	2018-02-14T00:00:00.0000000Z	2761.11097588	2927
48	BCH	1385.0	1217.89	1220.64	2018-02-14T00:00:00.0000000Z	2018-02-15T00:00:00.0000000Z	4917.575288537	5245
49	BCH	1396.28	1310.0	1357.18	2018-02-15T00:00:00.0000000Z	2018-02-16T00:00:00.0000000Z	4508.831145586	5241
50	BCH	1550.0	1351.65	1357.04	2018-02-16T00:00:00.0000000Z	2018-02-17T00:00:00.0000000Z	7140.305191139	7497
51	BCH	1555.77	1495.0	1533.0	2018-02-17T00:00:00.0000000Z	2018-02-18T00:00:00.0000000Z	3177.578218729	3603
52	BCH	1640.0	1400.0	1546.02	2018-02-18T00:00:00.0000000Z	2018-02-19T00:00:00.0000000Z	5864.531150816	7398
53	BCH	1545.2	1405.0	1451.12	2018-02-19T00:00:00.0000000Z	2018-02-20T00:00:00.0000000Z	2319.41931655	2405
54	BCH	1554.4	1375.7	1521.94	2018-02-20T00:00:00.0000000Z	2018-02-21T00:00:00.0000000Z	2965.289939637	3059
55	BCH	1409.91	1261.68	1388.01	2018-02-21T00:00:00.0000000Z	2018-02-22T00:00:00.0000000Z	4418.884535747	4593
56	BCH	1339.99	1175.0	1279.61	2018-02-22T00:00:00.0000000Z	2018-02-23T00:00:00.0000000Z	4411.936449857	4761
57	BCH	1311.05	1144.62	1209.0	2018-02-23T00:00:00.0000000Z	2018-02-24T00:00:00.0000000Z	2949.359562968	4108
58	BCH	1296.0	1126.1	1252.16	2018-02-24T00:00:00.0000000Z	2018-02-25T00:00:00.0000000Z	2245.153528907	3163
59	BCH	1202.54	1136.44	1179.1	2018-02-25T00:00:00.0000000Z	2018-02-26T00:00:00.0000000Z	1449.28346367	2152
60	BCH	1272.17	1140.0	1170.56	2018-02-26T00:00:00.0000000Z	2018-02-27T00:00:00.0000000Z	2666.95329387	3626
61	BCH	1298.69	1218.13	1245.73	2018-02-27T00:00:00.0000000Z	2018-02-28T00:00:00.0000000Z	1494.647208817	1798
62	BCH	1276.07	1195.33	1233.42	2018-02-28T00:00:00.0000000Z	2018-03-01T00:00:00.0000000Z	1359.994930387	1932
63	BCH	1305.93	1185.13	1199.03	2018-03-01T00:00:00.0000000Z	2018-03-02T00:00:00.0000000Z	2623.04066109	2663
64	BCH	1304.88	1248.49	1281.07	2018-03-02T00:00:00.0000000Z	2018-03-03T00:00:00.0000000Z	1928.413496339	1942
65	BCH	1299.0	1255.18	1275.74	2018-03-03T00:00:00.0000000Z	2018-03-04T00:00:00.0000000Z	563.52580675	1040
66	BCH	1284.82	1210.0	1265.38	2018-03-04T00:00:00.0000000Z	2018-03-05T00:00:00.0000000Z	1915.667827768	2061
67	BCH	1288.77	1261.01	1279.07	2018-03-05T00:00:00.0000000Z	2018-03-06T00:00:00.0000000Z	999.104347209	1382
68	BCH	1262.97	1172.75	1261.01	2018-03-06T00:00:00.0000000Z	2018-03-07T00:00:00.0000000Z	1926.602015879	2913
69	BCH	1215.98	1031.75	1202.0	2018-03-07T00:00:00.0000000Z	2018-03-08T00:00:00.0000000Z	4884.672428429	6747
70	BCH	1113.09	990.15	1091.39	2018-03-08T00:00:00.0000000Z	2018-03-09T00:00:00.0000000Z	8307.834825785	7701
71	BCH	1075.0	920.0	1030.6	2018-03-09T00:00:00.0000000Z	2018-03-10T00:00:00.0000000Z	6686.639708338	7888
72	BCH	1089.98	986.0	1066.14	2018-03-10T00:00:00.0000000Z	2018-03-11T00:00:00.0000000Z	2037.188100947	2954
73	BCH	1158.33	960.04	1002.06	2018-03-11T00:00:00.0000000Z	2018-03-12T00:00:00.0000000Z	2835.385696576	5417
74	BCH	1149.5	1008.15	1136.94	2018-03-12T00:00:00.0000000Z	2018-03-13T00:00:00.0000000Z	4463.29727205	4611
75	BCH	1099.45	990.15	1046.99	2018-03-13T00:00:00.0000000Z	2018-03-14T00:00:00.0000000Z	11769.278362965	7683
76	BCH	1068.35	906.42	1055.95	2018-03-14T00:00:00.0000000Z	2018-03-15T00:00:00.0000000Z	4775.050543252	5000
77	BCH	954.99	871.29	947.99	2018-03-15T00:00:00.0000000Z	2018-03-16T00:00:00.0000000Z	2655.168689298	5033
